"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"23" 10057006.1964438 12828960.8929797 17721495.9642389 27335398.7692413 32789804.5242789 21059136.797927 6773383.50018321 4391545.58272368 4857093.08964553 3479609.34138596 1184184.91820144 236.51781904274 1160337.49896392 2593697.6942555 2501819.88495382 1320455.91417513 269187.183341537 4410.62879842022 98776.4666764299 165499.076723121 216014.690426 255369.244074893 87844.9283861304 163937.389192667 110483.385708267 83952.7216296968 32998.4382201334 144652.642618899 225781.359413824 188989.696777968 99537.1077513559 134296.061708817 57155.2974632239 21252.0676832111 26600.8277860452 62948.247523865 208999.378793417 182371.153838752 16302.5061518368 18212.9818221366 59770.341809066 181600.529114619 192599.039927989 53431.8366512097 7482.54452671699 546.721350584867 65263.1181607835 108998.605247312 27275.9382628188 52547.7730353906 195547.469142208
"24" 421424.021173996 997486.099505909 2228245.88421943 3890519.0949405 3457258.8346985 743807.855510176 268607.919939832 617634.73568988 1593814.18712246 1032884.25611791 62526.2219694455 102933.978529209 288873.282229098 656127.714863215 781417.86169142 828283.394305127 474839.04494657 128612.427552212 412399.271136756 1600585.4272875 1213610.80659023 384706.613489035 178794.67069083 206983.400546767 244712.753733965 277542.883865513 116645.284126656 171500.013534595 227406.532175148 145359.137814194 30291.7301670788 198573.203899225 127224.787565369 52887.872358568 50697.7589845291 160555.171284132 236092.234930941 101419.942945463 72636.0331810464 60310.8360444591 6128.73395280837 11704.8523127829 8681.47392334534 11093.9301961797 86464.0399633814 47871.4894251789 66691.4845794302 115034.212192935 114307.980647799 365246.472062548 730246.521420346
"25" 23535.6298093501 385032.190542672 1092649.3792167 2031008.63756679 1481062.96952567 68491.3118263504 242209.471760509 233416.744195004 1941548.30943461 1452255.67580906 110688.40052068 87988.7201774716 143730.539325202 338520.47411105 317406.358922502 766782.639503875 503967.412618253 402518.661556453 1044312.16693332 3245343.08869083 3711023.28256524 1805832.59198836 1025181.29138964 1021129.13918991 678446.51734053 426270.671129033 224318.381824106 345296.204688279 422088.654337948 285901.313627869 298212.308111228 677167.338853516 602613.923150946 215263.653982156 111098.059370891 222927.557875456 131474.393718089 53867.2998470797 147913.168822541 120226.946260907 128274.333122496 122497.873708839 53036.2756116774 56987.2301947736 137892.62084364 82767.762328614 6126.44469969557 34738.7161275616 108483.316255394 197293.194993765 274108.179935374
"26" 193021.317285527 61417.4137450534 43358.434994815 22412.3518543376 126597.589027377 45447.0637529017 241079.649528139 54156.3451719464 686706.206302077 205283.872280085 256418.063447998 449751.603138365 52179.2647182837 141162.780400429 133416.469903415 544558.820201159 551462.597464479 1016941.37837964 1662060.67760264 2461762.35951626 3026503.8185114 1965787.02277361 1503145.67118106 2124479.32676512 1967052.55535366 837842.488693675 188652.007087528 168260.883554233 289132.410647813 282206.73738598 474956.715927803 850809.853572466 969744.188211396 569251.710079141 234830.511091138 161235.979120833 38556.9610428105 14927.147118222 165390.986882131 311807.631558988 189828.301224755 54923.9920532744 60574.3050846132 181065.500615654 257770.197941134 183910.63933101 112735.85525803 108666.29278863 50679.0880302284 49528.8207670542 228580.356115843
"27" 199816.501820458 313658.357475331 577296.82731182 253513.498372473 50815.707090708 44872.7213174722 55475.1794837013 30746.7096450631 168130.432456661 27153.055142897 470801.598713174 384902.527943184 17638.8830608507 77741.0517005295 492222.228341428 513392.670040999 299560.3634258 463221.393221133 1095919.68981423 1097615.39711121 800173.650505785 555960.875089262 319513.956257565 458031.706433125 736873.370488036 265763.207174753 4397.17366714812 58728.7457140267 7077.13717965666 56186.2190765536 176874.980890567 339432.652403266 624040.407814987 626504.275271163 335730.131207012 83840.0594717012 73525.5637592606 72828.9627809182 164276.48035741 831844.982189182 434816.321710661 89378.7756495271 208807.223012932 410577.15629001 572440.073924566 218277.596486581 448619.68520141 589131.366689988 125478.527791523 196476.202682057 1067238.94543679
"28" 398080.056778016 370649.730800571 380374.169228542 194312.636312012 219959.840390286 185251.836459484 87855.1292280783 37874.0988926394 4158.37211704124 96759.0825095149 420129.607334343 294855.548925685 18249.1966015003 124175.115238007 500169.104416965 236623.284722292 120272.653735203 32563.0902230864 305561.968396325 548781.176661924 192533.403747443 1478.74425276665 75982.6995155402 389528.629522391 843388.840894204 729646.408843879 288626.199461487 197722.894423263 140722.219463283 96936.5330362872 65649.5340423978 50077.7396468655 245373.432366634 448275.030435619 341198.722548399 135884.03419199 12845.6396376057 147776.506547052 37219.6670091583 693803.616415211 499429.48165095 27269.861973651 160150.444575093 170845.123073719 919017.262312997 292915.896725135 282485.539182936 1067976.84772322 573541.936755635 195364.171253517 1266248.26050983
"29" 402474.450713039 262945.690586728 218323.186456387 292251.895011614 380139.178073573 183791.653768346 45954.1205431381 127294.848379403 104098.617591118 34558.3862679711 98752.1025471725 221788.753975178 192170.370822423 250249.065557852 272200.968647633 28227.2952395644 64983.334696033 9679.87882123169 88775.0538076984 161510.94556109 44080.8686477584 27297.4476708363 184838.536421255 408317.143891823 665209.346536707 615120.003532078 247130.115251363 54632.6458047839 59001.155939489 107584.913251745 36922.4925298422 1846.71975776847 71491.4831687455 295847.175469119 272819.34031013 143783.298150864 55927.0175579701 31123.9192262805 1312.56623205991 164973.884681263 105055.570719291 57508.6669556371 240967.689021803 125.666528013547 315180.114059103 186558.465891123 47423.4532963973 554088.613476295 600549.713383056 110240.442222457 389329.919038136
"30" 429582.078158153 320010.048013423 350948.397064207 234206.309796503 70653.5095434459 15694.1680046287 44802.5598964365 175075.262778434 154380.791504015 2141.63019590815 4047.88449641204 173267.401360758 427279.944857009 247112.886127916 14406.3114769235 122567.87885172 165836.482075804 12869.7726720805 15729.1102658499 44986.783690763 130401.740531141 226531.909736582 152405.170706069 22015.6995627331 79349.6363153392 130077.47994434 39512.2063372369 5470.42580524733 2550.613231458 41732.1935068726 25534.6295496903 2282.26631806827 24584.3651384924 194884.748460309 183580.486550607 100405.385451733 136445.864660891 89167.2188270558 29966.6394185885 31399.9883256762 84.629575973232 101611.734192313 111215.185128237 9751.64949448635 17571.6435955461 6417.84958345136 78757.6288692277 144177.321481621 90617.1829298075 14365.1800036898 163643.941596561
"31" 472044.688106868 450435.711424225 375896.104945097 76402.4650310995 137931.32473048 330241.580038161 159435.70869598 105439.160312307 83295.3867416263 8777.96420481682 1019.47719694402 329821.529034332 779758.118292339 276090.578829536 5587.6375707165 239333.392414786 336482.503139184 430323.912432659 492205.037724474 503045.625122596 766219.027510174 973464.408897356 656201.577152223 129796.687876187 6528.45062703156 58165.581267946 41545.672009643 2054.93894077367 15135.4600242135 27704.6169708276 15867.4821862887 12051.1275452265 97957.9695121283 259768.617837051 177875.147078739 113523.110803227 209422.838706383 176488.15049078 65242.2958759649 10291.2317501238 6861.61010663051 50155.0711277707 22797.4045242128 43041.3451156963 27901.3420111299 16271.8430396013 40779.9565914093 56296.9304897909 62645.4886036685 89686.1225912664 148383.256042213
"32" 485721.44869389 698682.248121087 504717.918020644 469436.853678204 924894.44008584 811845.293607817 171368.427238409 26364.6610836383 23669.5398435461 12374.6920800377 83128.3089957994 579189.569038544 904965.067562122 367443.517449484 21289.7220258991 96824.2958986585 739680.518623963 1678099.55692589 1655540.73440947 1033174.04146646 1100220.43688469 1415747.23394973 1151830.77122012 509868.213047494 119120.06272344 36268.9795997542 80119.8144280745 10253.3534918642 50243.7015472891 87452.1727867939 27030.3758761865 13101.0900174105 95591.1275417926 242062.166358485 147877.758925433 41641.9722116413 80933.3833247609 103008.092299097 51646.8940881232 14349.2543828801 6372.58117643418 17301.5665262162 36895.7877320172 58182.2639932652 65564.1869759386 29838.3561206533 9616.44249749511 13377.6129705152 21276.7008745644 4177.22642847383 22927.2588403013
"33" 443354.43538385 1223821.43603456 977453.201880718 629239.556258061 1192295.33341137 862259.681454484 142584.854832046 256343.402724955 174714.735156693 76961.2916161132 541518.86413572 1018092.7850847 972670.988271725 635540.29634823 242965.015420147 119293.446369506 1040975.68378423 2518666.01886675 2574229.41290133 1338991.55514831 781526.431741986 1115510.89338124 1316877.88767313 914419.058289398 348685.153317557 52591.2157539746 50534.7697689303 37564.8653139328 95401.0149457269 167286.65946214 88730.5134335198 19356.3952769464 7642.51579277236 78561.9347137504 74782.8003617484 6685.66149856942 51732.8409313806 113617.797198999 22187.4000852054 35817.2123711994 95846.3044828592 127570.633236166 120642.833172889 216372.755612087 232921.838118425 191034.982540835 387997.334104109 360008.094968558 238098.758982079 205434.6826508 191350.781226904
"34" 89361.9015861027 599306.999401245 675127.173720662 90297.5873546072 426879.450096549 711565.594142986 486912.411450992 689764.411740108 1063386.11766374 437070.740540934 402621.899860838 833085.624765038 1174398.0760383 1098744.08942658 670565.920639173 343991.55829026 780916.922576502 2014510.40891387 2365161.44710458 1222985.17409805 357257.951077145 354082.074037204 725076.9947818 731314.599875469 308777.884202101 90446.1055093736 143712.063183237 89722.5812311727 65056.7070623641 115439.139938504 63979.4068544078 31271.2672438142 18163.8626189453 26396.2382696357 38704.7305597935 8970.77139324701 179884.256881125 243753.031504278 8613.26666216752 86117.7705578155 219825.570972768 296763.156561969 220463.199044131 192089.183747405 196676.911057872 404212.325328841 943902.876434064 836462.303505476 543848.778950442 656535.144882784 522458.963932008
